IncidentID,Date,Service,Severity,MinutesToMitigate,CustomerImpact,RootCause,Status,Tags
INC-1001,2026-02-02,auth-api,S1,180,1,deploy,Resolved,login
INC-1002,2026-01-20,gateway,S2,310,1,third_party,Resolved,edge
INC-1003,2026-01-10,webapp,S3,60,0,internal,Resolved,ui
INC-1004,2026-01-17,billing-svc,S2,260,1,internal,Resolved,payments
INC-1005,2025-11-18,catalog,S2,500,1,third_party,Mitigated,pricing
INC-1006,2025-11-17,catalog,S2,300,1,internal,Resolved,legacy
INC-1007,2025-12-02,search-core,S3,95,1,config,Resolved,index
INC-1008,2025-12-15,search-core,S2,245,1,third_party,Resolved,timeout
INC-1009,2026-01-05,inventory,S3,140,0,internal,Resolved,stock
INC-1010,2026-01-26,notifications,S3,510,1,third_party,Resolved,email
INC-1011,2026-02-12,billing-svc,S3,80,1,deploy,Resolved,batch
INC-1012,2026-02-14,gateway,S3,135,1,internal,Resolved,proxy
INC-1013,2025-12-28,webapp,S2,300,1,third_party,Resolved,cdn
INC-1014,2025-12-20,webapp,S3,30,0,internal,Resolved,ui
INC-1015,2026-02-20,search-core,S2,210,1,internal,Resolved,future_ignore
INC-1016,2026-01-30,catalog,S3,260,1,internal,Resolved,cache
INC-1017,2026-01-19,inventory,S2,260,1,third_party,Resolved,vendor
INC-1018,2025-11-18,analytics-pipeline,S3,490,1,third_party,Resolved,etl
INC-1019,2025-12-01,analytics-pipeline,S2,700,1,third_party,Resolved,warehouse
INC-1020,2026-02-01,notifications,S2,600,0,third_party,Resolved,sms
INC-1021,2026-01-18,auth-api,S3,50,1,internal,Resolved,token
INC-1022,2026-02-08,webapp,S2,265,1,internal,Resolved,session
